Event ID,Block,Extrinsic ID,Time,Type,validator,fraction,slash_era
14190885-1,14190885,-,2023-02-10T23:14,staking (SlashReported),12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,0,984
14337185-2,14337185,-,2023-02-21T03:14,staking (SlashReported),12BkPLskXyXrHhktrinLxVFkPzzvCzCyVCaqHkUEoxMwSzeq,0,994
14440233-2,14440233,-,2023-02-28T07:14,staking (SlashReported),12MqEB7VLqKRgxCoGZXriPuo4GNYtaFiQ1tjMZhooPXAycM2,0,1001
14564907-4,14564907,-,2023-03-08T23:14,staking (SlashReported),15twfAkh6TKdNpE7kNgxcQSRYtSpt3QpgjxmR6HKHFGs6Yrz,0,1010
14564907-2,14564907,-,2023-03-08T23:14,staking (SlashReported),15tsaRbwLLBHst5chP1pVkQHc5n2JS4DcapFdhCnqJMZebda,0,1010
14583979-2,14583979,-,2023-03-10T07:14,staking (SlashReported),1264tb9azwmsVruJFTQ3PKb8yCPjniBVyUV8ppsmbXz8D2Bw,0,1011
14583979-4,14583979,-,2023-03-10T07:14,staking (SlashReported),126CY11joFMpakVSRra9LtNFYWuUzbtA9BcGPpaEvn7R8RkN,0,1011
14583979-6,14583979,-,2023-03-10T07:14,staking (SlashReported),12HTVpN7smNqUwbM5ART7dpoEV1rcY8itrKKMCzGikrJJo6A,0,1011
14583979-8,14583979,-,2023-03-10T07:14,staking (SlashReported),13AtGSHJaDZrLHELmK6iKAuaAKHcetrH73N2KEb5M5SX1yDR,0,1011
14586337-6,14586337,-,2023-03-10T11:14,staking (SlashReported),15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,0,1011
14591045-10,14591045,-,2023-03-10T19:14,staking (SlashReported),162PEJ8AzRofAYf2EGMT8Vv9bnxNDh9LNpE4nVegd7tuLcGb,0,1011
14591045-8,14591045,-,2023-03-10T19:14,staking (SlashReported),13ippe26nFP9yXRjMd7jMXcbB5ChKi686zzMy8q5BEu9JMUe,0,1011
14591045-6,14591045,-,2023-03-10T19:14,staking (SlashReported),13KsApgfYuwVz27YwXCpLUHXPtKSv9WpwUEWrMRVTKCh7hsX,0,1011
14595815-1,14595815,-,2023-03-11T03:14,staking (SlashReported),13ippe26nFP9yXRjMd7jMXcbB5ChKi686zzMy8q5BEu9JMUe,0,1012
14595815-2,14595815,-,2023-03-11T03:14,staking (SlashReported),162PEJ8AzRofAYf2EGMT8Vv9bnxNDh9LNpE4nVegd7tuLcGb,0,1012
14598182-1,14598182,-,2023-03-11T07:14,staking (SlashReported),13KsApgfYuwVz27YwXCpLUHXPtKSv9WpwUEWrMRVTKCh7hsX,0,1012
14598182-4,14598182,-,2023-03-11T07:14,staking (SlashReported),14Fqi7dFQfRtQRrtBW7BL5m9E1fbTp3dvAnW19AUqEKhWCFd,0,1012
14598182-6,14598182,-,2023-03-11T07:14,staking (SlashReported),14tcxHSTAiZf7M4vcLfFdGkGJFjfx6zDqds5QVyz2H24hKgG,0,1012
14611707-2,14611707,-,2023-03-12T07:14,staking (SlashReported),1dquPs8HbmkE5Zw6i6PA4VtVstjtaFCzxugSX1h9ujoNWpZ,0,1013
14611707-4,14611707,-,2023-03-12T07:14,staking (SlashReported),15VJJiNF7fUJvdjuvyWQCkqgNGvhmwtJh8sC5QpG3pX6uMZN,0,1013
