Event ID,Block,Extrinsic ID,Time,Type,validator,fraction,slash_era
23912156-52,23912156,23912156-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912155-55,23912155,23912155-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912154-56,23912154,23912154-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912153-53,23912153,23912153-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912152-55,23912152,23912152-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912150-56,23912150,23912150-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912148-52,23912148,23912148-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912145-53,23912145,23912145-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912143-54,23912143,23912143-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912142-55,23912142,23912142-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912140-52,23912140,23912140-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912139-52,23912139,23912139-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912138-54,23912138,23912138-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912137-55,23912137,23912137-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912136-54,23912136,23912136-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912132-54,23912132,23912132-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912131-53,23912131,23912131-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912130-53,23912130,23912130-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912128-53,23912128,23912128-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912127-52,23912127,23912127-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912126-53,23912126,23912126-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912125-54,23912125,23912125-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912123-55,23912123,23912123-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912122-60,23912122,23912122-3,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912122-57,23912122,23912122-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912116-26,23912116,23912116-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912114-52,23912114,23912114-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912113-55,23912113,23912113-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912110-54,23912110,23912110-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912109-51,23912109,23912109-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912107-48,23912107,23912107-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912106-52,23912106,23912106-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912105-54,23912105,23912105-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912103-55,23912103,23912103-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912102-54,23912102,23912102-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912100-55,23912100,23912100-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912096-55,23912096,23912096-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
23912094-51,23912094,23912094-2,2024-12-19T20:14,staking (SlashReported),13YJ7PrjwAhKHP9m99APDSuvLwWKSQSmKABfJY3H2Cepk2CA,36144,1662
